"auction_date","judgment_amount","address","city","state","zip","date_added"
"05/26/2022","$259,861.70","12407 WHITE BLUFF ROAD","HUDSON","FL","34669","05/26/2022"
"05/31/2022","$131,507.52","7325 SAN MORITZ DR","PORT RICHEY","FL","34668","05/26/2022"
"06/06/2022","$13,904.66","3905 INVESTMENT LN 21","WEST PALM BEACH","FL","33404","05/26/2022"
"06/08/2022","$131,412.60","3121 NW 47 TER 113","FORT LAUDERDALE","FL","33319","05/26/2022"
"06/08/2022","$194,001.14","7404 20TH ST","ZEPHYRHILLS","FL","33540","05/26/2022"
"06/13/2022","$252,731.04","6649 BLUFF MEADOW CT","WESLEY CHAPEL","FL","33545","05/26/2022"
"06/14/2022","$89,945.62","3506 NW 49 AVE 415","LAUDERDALE LAKES","FL","33319","05/26/2022"
"06/14/2022","$1,602,625.91","6041 NW 84 TER","PARKLAND","FL","33067","05/26/2022"
"06/14/2022","$476,446.93","16091 BLATT BLVD","WESTON","FL","33326","05/26/2022"
"06/15/2022","$269,298.45","121 SE 3 AVE","DANIA BEACH","FL","33004","05/26/2022"
"06/15/2022","$147,309.36","2461 POLK ST","HOLLYWOOD","FL","33020","05/26/2022"
"06/15/2022","$338,204.85","4620 NW 41 CT","LAUDERDALE LAKES","FL","33319","05/26/2022"
"06/15/2022","$730,564.98","1576 SW 151 AVE","PEMBROKE PINES","FL","33027","05/26/2022"
"06/15/2022","$202,991.39","10502 E CLAIRMONT CIR 112","TAMARAC","FL","33321","05/26/2022"
"06/16/2022","$367,320.67","12314 NW 10 DR","CORAL SPRINGS","FL","33071","05/26/2022"
"06/17/2022","$17,521.32","1103 WOOD HILL PL 1103","JACKSONVILLE","FL","32256","05/26/2022"
"06/21/2022","$2,255,841.95","2817 N ATLANTIC BLVD","FORT LAUDERDALE","FL","33308","05/26/2022"
"06/21/2022","$24,780.98","3200 PORT ROYALE DR N","FORT LAUDERDALE","FL","33308","05/26/2022"
"06/21/2022","$81,944.20","842 NW 4 AVE","FORT LAUDERDALE","FL","33311","05/26/2022"
"06/21/2022","$47,754.15","3807 STUART ST","JACKSONVILLE","FL","32209","05/26/2022"
"06/21/2022","$71,822.35","2304 SHERRINGTON ST","JACKSONVILLE","FL","32209","05/26/2022"
"06/21/2022","$360,633.81","401 BLAGDON CT","JACKSONVILLE","FL","32225","05/26/2022"
"06/21/2022","$3,726.92","11816 MANGO CROSS CT","SEFFNER","FL","33584","05/26/2022"
"06/21/2022","$19,990.00","7516 NEEDLE LEAF PL UNIT D","TAMPA","FL","33617","05/26/2022"
"06/21/2022","$298,105.90","343 LAKE ELOISE POINTE DR","WINTER HAVEN","FL","33880","05/26/2022"
"06/22/2022","$176,663.86","1401 CITRUS ST","CLEARWATER","FL","33756","05/26/2022"
"06/22/2022","$234,889.28","3847 DESOTO AVE","FORT MYERS","FL","33916","05/26/2022"
"06/22/2022","$11,494.17","2825 KOKOMO LOOP","HAINES CITY","FL","33844","05/26/2022"
"06/22/2022","$213,771.12","6320 TORRINGTON CIR","LAKELAND","FL","33811","05/26/2022"
"06/22/2022","$430,877.73","419 FIFTH AVE","LEHIGH ACRES","FL","33972","05/26/2022"
"06/22/2022","$169,588.71","1044 RIDGEWAY DR","NORTH FORT MYERS","FL","33903","05/26/2022"
"06/22/2022","$242,498.13","14818 CARNATION DR","TAMPA","FL","33613","05/26/2022"
"06/23/2022","$246,860.41","7026 NUNDY AVE","GIBSONTON","FL","33534","05/26/2022"
"06/23/2022","$122,628.09","701 N ATLANTIC AVE 402","NEW SMYRNA BEACH","FL","32169","05/26/2022"
"06/23/2022","$231,832.47","3301 KILMER DR","PLANT CITY","FL","33566","05/26/2022"
"06/23/2022","$229,605.94","6833 DURANT RD","PLANT CITY","FL","33567","05/26/2022"
"06/23/2022","$238,479.29","425 SEGOVIA RD","SAINT AUGUSTINE","FL","32086","05/26/2022"
"06/23/2022","$98,018.31","312 N GOMEZ AVE","TAMPA","FL","33609","05/26/2022"
"06/23/2022","$192,704.89","4419 SWEETWATER DR","TAMPA","FL","33615","05/26/2022"
"06/27/2022","$139,746.33","6780 W 2 CT 212","HIALEAH","FL","33012","05/26/2022"
"06/27/2022","$41,360.72","551 NE 12 AVE 551","HOMESTEAD","FL","33033","05/26/2022"
"06/27/2022","$158,473.23","7303 ADELE CT","JACKSONVILLE","FL","32277","05/26/2022"
"06/27/2022","$8,621.31","17725 NW 66 COURT CIR","MIAMI","FL","33015","05/26/2022"
"06/27/2022","$474,851.48","8125 SW 99 CT","MIAMI","FL","33173","05/26/2022"
"06/27/2022","$733,045.56","14948 SW 132 AVE","MIAMI","FL","33186","05/26/2022"
"06/28/2022","$231,607.24","7808 NW 40 ST","CORAL SPRINGS","FL","33065","05/26/2022"
"06/28/2022","$248,738.86","60 NW 143 ST","MIAMI","FL","33168","05/26/2022"
"06/29/2022","$473,359.47","6419 BRIDGEWOOD TER","BOCA RATON","FL","33433","05/26/2022"
"06/29/2022","$101,922.58","2105 TALLAHASSEE DR","WEST PALM BEACH","FL","33409","05/26/2022"
"06/30/2022","$136,090.86","3351 NW 8 PL","LAUDERHILL","FL","33311","05/26/2022"
"07/01/2022","$85,482.67","2055 S FLORAL AVE LOT 214","BARTOW","FL","33830","05/26/2022"
"07/05/2022","$332,629.25","171 NW 56 ST","MIAMI","FL","33127","05/26/2022"
"07/05/2022","$450,027.82","60 NE 50 TER","MIAMI","FL","33137","05/26/2022"
"07/05/2022","$53,929.23","1323C GETTYSBURG DR","ORANGE PARK","FL","32065","05/26/2022"
"07/06/2022","$174,092.29","320 NW 20 AVE","POMPANO BEACH","FL","33069","05/26/2022"
"07/08/2022","$271,616.60","8886 PEBBLEBROOKE DR","LAKELAND","FL","33810","05/26/2022"
"07/11/2022","$277,065.36","5600 W 9 CT","HIALEAH","FL","33012","05/26/2022"
"07/11/2022","$348,517.10","437 W 76 ST","HIALEAH","FL","33014","05/26/2022"
"07/11/2022","$154,207.00","13541 N MIAMI AVE","MIAMI","FL","33168","05/26/2022"
"07/11/2022","$26,925.97","201 178 DR 210","SUNNY ISLES BEACH","FL","33160","05/26/2022"
"07/12/2022","$485,204.00","5802 BAY PINES LAKES BLVD","ST PETERSBURG","FL","33708","05/26/2022"
"07/14/2022","$32,212.53","5640 NW 13 ST","LAUDERHILL","FL","33313","05/26/2022"
"07/18/2022","$203,151.42","560 ORCHID AVE","KEYSTONE HEIGHTS","FL","32656","05/26/2022"
"07/18/2022","$360,283.72","8155 NW 201 ST","MIAMI","FL","33015","05/26/2022"
"07/18/2022","$415,077.33","4763 NW 195 ST","MIAMI","FL","33055","05/26/2022"
"07/18/2022","$16,044.07","750 NE 64 ST B416","MIAMI","FL","33138","05/26/2022"
"07/18/2022","$143,976.05","5739 MAVERICK RD","MIDDLEBURG","FL","32068","05/26/2022"
"07/18/2022","$209,090.79","1865 79 STREET CSWY 3I","NORTH BAY VILLAGE","FL","33141","05/26/2022"
"07/18/2022","$166,983.80","437 SHORT DR","POINCIANA","FL","34759","05/26/2022"
"07/19/2022","$70,380.99","865 IMPERIAL DR","LARGO","FL","33771","05/26/2022"
"07/19/2022","$344,382.85","170 NE 151 ST","MIAMI","FL","33162","05/26/2022"
"07/19/2022","$242,720.47","950 AMERICAN ROSE PKWY","ORLANDO","FL","32825","05/26/2022"
"07/20/2022","$331,712.23","2614 W 8 CT","HIALEAH","FL","33010","05/26/2022"
"07/20/2022","$81,533.45","151 S RIDGEWOOD AVE","ORMOND BEACH","FL","32174","05/26/2022"
"07/20/2022","$96,360.12","5155 15TH ST N","ST PETERSBURG","FL","33703","05/26/2022"
"07/20/2022","$226,441.35","950 9TH AVE S","ST PETERSBURG","FL","33705","05/26/2022"
"07/22/2022","$406,950.81","1420 N ATLANTIC AVE","DAYTONA BEACH","FL","32118","05/26/2022"
"07/22/2022","$11,763.04","31 MATE CIR","PLACIDA","FL","33946","05/26/2022"
"07/22/2022","$12,176.04","17 SCUPPER LN","PLACIDA","FL","33946","05/26/2022"
"07/22/2022","$11,885.54","7 EDDY PL","PLACIDA","FL","33946","05/26/2022"
"07/25/2022","$292,181.68","800 N MIAMI AVE E-801","MIAMI","FL","33136","05/26/2022"
"07/25/2022","$139,577.64","14924 SW 88 TER","MIAMI","FL","33196","05/26/2022"
"07/26/2022","$154,662.59","2282 NW 81 ST","MIAMI","FL","33147","05/26/2022"
"07/27/2022","$124,276.13","320 FORREST PKWY","CRESTVIEW","FL","32539","05/26/2022"
"07/27/2022","$475,245.41","275 NE 18 ST 406","MIAMI","FL","33132","05/26/2022"
"08/01/2022","$220,806.65","907 NE 199 ST 202","MIAMI","FL","33179","05/26/2022"
"08/04/2022","$327,007.87","77817 LUMBER CREEK BLVD","YULEE","FL","32097","05/26/2022"
"08/08/2022","$179,389.79","6739 KINGSMOOR WAY","MIAMI LAKES","FL","33014","05/26/2022"
"08/10/2022","$265,432.20","1915 NW 83 ST","MIAMI","FL","33147","05/26/2022"
