auction_date,judgment_amount,address,city,state,zip,date_added
06/06/2022,"$40,225.52",900 NE 195 ST 710,30-2206-054-0680,FL,33179,05/18/2022
06/06/2022,"$294,142.93",3020 MARCOS DR S-114,AVENTURA,FL,33160,05/18/2022
06/06/2022,"$1,217,663.97",2000 ISLAND BLVD PH-5,AVENTURA,FL,33160,05/18/2022
06/06/2022,"$371,966.54",19999 E COUNTRY CLUB DR 1605,AVENTURA,FL,33180,05/18/2022
06/06/2022,"$336,961.77",3400 NE 192 ST 1909,AVENTURA,FL,33180,05/18/2022
06/06/2022,"$25,118.07",3600 YACHT CLUB DR 703,AVENTURA,FL,33180,05/18/2022
06/06/2022,"$10,269.79",152 DORSET D,BOCA RATON,FL,33434,05/18/2022
06/06/2022,"$13,396.57",108 SW 8TH CT,BOYNTON BEACH,FL,33426,05/18/2022
06/06/2022,"$189,745.51",335 NE 12TH AVE,BOYNTON BEACH,FL,33435,05/18/2022
06/06/2022,"$226,362.00",9905 PINEAPPLE TREE DR 112,BOYNTON BEACH,FL,33436,05/18/2022
06/06/2022,"$13,566.22",703 BRADFORD CT,BOYNTON BEACH,FL,33436,05/18/2022
06/06/2022,"$301,845.02",5136 FLORIA DR L # 4312,BOYNTON BEACH,FL,33437,05/18/2022
06/06/2022,"$43,706.89",7763 MAJESTIC PALM DR,BOYNTON BEACH,FL,33437,05/18/2022
06/06/2022,"$348,039.46",25310 BARTHOLOMEW ST,CHRISTMAS,FL,32709,05/18/2022
06/06/2022,"$267,014.91",112 GOLF COURSE DR,CRESTVIEW,FL,32536,05/18/2022
06/06/2022,"$186,353.26",22226 SW 98 PL,CUTLER BAY,FL,33190,05/18/2022
06/06/2022,"$17,216.37",910 SOUTH DR D,DELRAY BEACH,FL,33445,05/18/2022
06/06/2022,"$24,656.54",6936 HUNTINGTON LN 203,DELRAY BEACH,FL,33446,05/18/2022
06/06/2022,"$13,065.51",7280 AMBERLY LN 404,DELRAY BEACH,FL,33446,05/18/2022
06/06/2022,"$29,028.93",1004 KOKOMO KEY LN,DELRAY BEACH,FL,33483,05/18/2022
06/06/2022,"$220,976.13",5550 WITNEY DR E 114,DELRAY BEACH,FL,33484,05/18/2022
06/06/2022,"$321,055.47",442 SE 1 ST,HIALEAH,FL,33010,05/18/2022
06/06/2022,"$261,432.01",1245 W 24 ST 123,HIALEAH,FL,33010,05/18/2022
06/06/2022,"$213,449.52",1900 W 68 ST D101,HIALEAH,FL,33014,05/18/2022
06/06/2022,"$111,012.76",8633 JEFFERSON AVE,JACKSONVILLE,FL,32208,05/18/2022
06/06/2022,"$176,062.09",12301 KERNAN FOREST BLVD 2107,JACKSONVILLE,FL,32225,05/18/2022
06/06/2022,"$178,519.31",6094 LIANA LEE DR,JACKSONVILLE,FL,32234,05/18/2022
06/06/2022,"$291,391.68",8068 KESWICK CT,JACKSONVILLE,FL,32244,05/18/2022
06/06/2022,"$186,087.76",12954 S CANYON CREEK TRL,JACKSONVILLE,FL,32246,05/18/2022
06/06/2022,"$251,103.60",4180 W OLD MILL COVE TRL,JACKSONVILLE,FL,32277,05/18/2022
06/06/2022,"$74,798.72",6524 CHASEWOOD DR H,JUPITER,FL,33458,05/18/2022
06/06/2022,"$222,506.61",4375 EMERALD VIS,LAKE WORTH,FL,33461,05/18/2022
06/06/2022,"$499,424.15",9402 BLACKTHORN LOOP,LAND O LAKES,FL,34638,05/18/2022
06/06/2022,"$312,017.74",15251 HARDING LN,MIAMI,FL,33033,05/18/2022
06/06/2022,"$299,751.47",121 NE 34 ST PH3205,MIAMI,FL,33137,05/18/2022
06/06/2022,"$413,285.89",2622 NW 47 ST,MIAMI,FL,33142,05/18/2022
06/06/2022,"$244,042.65",1341 NW 50 ST,MIAMI,FL,33142,05/18/2022
06/06/2022,"$112,865.59",2913 NW 60 ST,MIAMI,FL,33142,05/18/2022
06/06/2022,"$367,151.81",5266 NW 24 AVE,MIAMI,FL,33142,05/18/2022
06/06/2022,"$928,740.51",3127 SW 143 PL,MIAMI,FL,33175,05/18/2022
06/06/2022,"$290,606.10",1006 NE 203 LN,MIAMI,FL,33179,05/18/2022
06/06/2022,"$76,323.88",19000 NE 3 CT 421,MIAMI,FL,33179,05/18/2022
06/06/2022,"$421,404.51",2203 CALAIS DR,MIAMI BEACH,FL,33141,05/18/2022
06/06/2022,"$331,705.86",15801 NW 32 AVE,MIAMI GARDENS,FL,33054,05/18/2022
06/06/2022,"$629,401.15",3940 NW 171 TER,MIAMI GARDENS,FL,33055,05/18/2022
06/06/2022,"$133,231.69",17401 NW 20 AVE,MIAMI GARDENS,FL,33056,05/18/2022
06/06/2022,"$564,821.03",14758 NW 88 CT,MIAMI LAKES,FL,33018,05/18/2022
06/06/2022,"$76,469.08",16851 NE 23 AVE B-504,NORTH MIAMI BEACH,FL,33160,05/18/2022
06/06/2022,"$102,076.03",320 NE 172 ST,NORTH MIAMI BEACH,FL,33162,05/18/2022
06/06/2022,"$117,783.60",25DOGWOOD DRIVE CT,OCALA,FL,34472,05/18/2022
06/06/2022,"$73,435.14",780 WASHINGTON AVE,ORANGE PARK,FL,32065,05/18/2022
06/06/2022,"$760,583.08",1236 SPRING LAKE DR,ORLANDO,FL,32804,05/18/2022
06/06/2022,"$223,883.57",4051 KIAWA DR,ORLANDO,FL,32837,05/18/2022
06/06/2022,"$158,155.73",221 2ND LN,PALM BEACH GARDENS,FL,33418,05/18/2022
06/06/2022,"$387,172.57",1007 N WHEELER ST,PLANT CITY,FL,33563,05/18/2022
06/06/2022,"$167,207.46",513 POWDER VIEW DR,RUSKIN,FL,33570,05/18/2022
06/06/2022,"$302,848.40",558BENEDICTINE TER,SEBASTIAN,FL,32958,05/18/2022
06/06/2022,"$136,574.77",3505 N 34TH ST,TAMPA,FL,33605,05/18/2022
06/06/2022,"$170,138.90",12523 MONDRAGON DR,TAMPA,FL,33625,05/18/2022
06/06/2022,"$11,841.81",5536 JEFFERSON ST,TAX DIST 001,FL,32656,05/18/2022
06/06/2022,"$83,059.59",26221 SE 159TH LN,UMATILLA,FL,32784,05/18/2022
06/06/2022,"$402,770.12",6830 PINE SPRINGS DR,WESLEY CHAPEL,FL,33545,05/18/2022
06/06/2022,"$745,616.56",2109 PINEHURST DR,WEST PALM BEACH,FL,33407,05/18/2022
06/06/2022,"$21,963.25",505 SPENCER DR 402,WEST PALM BEACH,FL,33409,05/18/2022
06/06/2022,"$255,672.05",2286 BLUE SPRINGS RD,WEST PALM BEACH,FL,33411,05/18/2022
06/06/2022,"$597,028.20",545 FIRST CAPE CORAL DR,WINTER GARDEN,FL,34787,06/02/2022
06/07/2022,"$374,071.50",2621 PALMETTO RIDGE CIR,APOPKA,FL,32712,05/18/2022
06/07/2022,"$227,846.25",5500 NW 2ND AVE 323,BOCA RATON,FL,33487,05/18/2022
06/07/2022,"$153,860.87",3703 60TH ST W,BRADENTON,FL,34209,05/18/2022
