auction_date,judgment_amount,address,city,state,zip,date_added
09/13/2022,"$117,896.76",1710 DOVE FIELD PL,BRANDON,FL,33510,08/13/2022
09/13/2022,"$300,086.76",237 CITRUS ISLE LOOP,DAVENPORT,FL,33837,08/02/2022
09/13/2022,"$118,393.70",2515 SW 74 TER,DAVIE,FL,33317,08/06/2022
09/13/2022,"$227,024.76",191 SE 20 AVE 614,DEERFIELD BEACH,FL,33441,08/25/2022
09/13/2022,"$23,167.50",3200 PORT ROYALE DR N,FORT LAUDERDALE,FL,33308,08/20/2022
09/13/2022,"$75,562.10",11 HARVARD AVE,FROSTPROOF,FL,33843,08/02/2022
09/13/2022,"$128,745.23",986 SOUTHERN OAKS CT,FT WALTON BEACH,FL,32547,08/18/2022
09/13/2022,"$1,124,097.34",514 EVENTIDE DR,GULF BREEZE,FL,32561,08/23/2022
09/13/2022,"$403,220.22",818 N 46 AVE,HOLLYWOOD,FL,33021,08/18/2022
09/13/2022,"$341,782.84",6730 FARRAGUT ST,HOLLYWOOD,FL,33024,08/02/2022
09/13/2022,"$116,568.78",9255 NORFOLK BLVD,JACKSONVILLE,FL,32208,08/11/2022
09/13/2022,"$418,337.66",12271 N BUCKS HARBOR DR,JACKSONVILLE,FL,32225,08/11/2022
09/13/2022,"$172,624.51",1620 W OAK RIDGE DR,JACKSONVILLE,FL,32225,08/16/2022
09/13/2022,"$379,847.74",14360 STACEY RD,JACKSONVILLE,FL,32250,08/18/2022
09/13/2022,"$219,046.81",2421 S LINCOLN AVE,LAKELAND,FL,33803,08/02/2022
09/13/2022,"$192,783.07",4118 SUNNY VIEW DR,LAKELAND,FL,33813,08/02/2022
09/13/2022,"$111,992.82",8031 NW 47 CT,LAUDERHILL,FL,33351,08/27/2022
09/13/2022,"$80,653.99",6025AVENUE J,MCINTOSH,FL,32664,08/13/2022
09/13/2022,"$390,879.94",6360 NW 173 ST,MIAMI,FL,33015,08/11/2022
09/13/2022,"$214,666.50",8945 BLUEBELL ST,MILTON,FL,32583,08/11/2022
09/13/2022,"$442,086.77",9511 DUNHILL DR,MIRAMAR,FL,33025,08/02/2022
09/13/2022,"$71,411.64",18521 SW 44 ST,MIRAMAR,FL,33029,08/27/2022
09/13/2022,"$32,211.67",25317 NW 6TH AVE,NEWBERRY,FL,32669,08/20/2022
09/13/2022,"$127,345.44",6110 NW 42 AVE,NORTH LAUDERDALE,FL,33319,08/18/2022
09/13/2022,"$33,406.98",JOEWOOD CIR,NORTH PORT,FL,34288,08/25/2022
09/13/2022,"$150,263.94",20JUNIPER PASS TRL,OCALA,FL,34480,08/02/2022
09/13/2022,"$117,789.83",3567 FEKANY PL,ORLANDO,FL,32805,08/02/2022
09/13/2022,"$239,234.69",6309 REDWOOD OAKS DR,ORLANDO,FL,32818,08/04/2022
09/13/2022,"$157,942.46",151 SW 135 TER 114,PEMBROKE PINES,FL,33027,08/16/2022
09/13/2022,"$280,710.47",1240 APOPKA LN,POINCIANA,FL,34759,08/02/2022
09/13/2022,"$315,392.83",5400 NW EMBLEM ST,PORT SAINT LUCIE,FL,34953,06/11/2022
09/13/2022,"$251,004.68",150 NW BYRON ST,PORT SAINT LUCIE,FL,34983,08/02/2022
09/13/2022,"$286,484.13",588 SE MONET DR,PORT SAINT LUCIE,FL,34984,06/20/2022
09/13/2022,"$239,164.51",151 NE LOBSTER RD,PORT ST. LUCIE,FL,34983,08/02/2022
09/13/2022,"$28,185.72",1714 E ESCORT AVE,TAMPA,FL,33610,08/13/2022
09/13/2022,"$163,272.71",4781 129TH AVE N,WEST PALM BEACH,FL,33411,08/18/2022
09/13/2022,"$3,885.35",1849 WALLACE MANOR LN,WINTER HAVEN,FL,33880,08/04/2022
09/14/2022,"$554,885.13",3611 NW 5TH TER,BOCA RATON,FL,33431,06/23/2022
09/14/2022,"$245,318.37",1015 58TH AVENUE DR E,BRADENTON,FL,34203,08/02/2022
09/14/2022,"$24,764.00",7820 HAVEN HARBOUR WAY,BRADENTON,FL,34212,08/20/2022
09/14/2022,"$82,899.92",1655 GROVE ST,CLEARWATER,FL,33755,08/06/2022
09/14/2022,"$481,999.82",1949 CALUMET ST,CLEARWATER,FL,33765,09/03/2022
09/14/2022,"$976,566.61",7685 NW 47 DR,CORAL SPRINGS,FL,33067,08/25/2022
09/14/2022,"$379,619.02",4030 NW 2ND CT,DELRAY BEACH,FL,33445,08/18/2022
09/14/2022,"$727,091.44",15646 MESSINA ISLES CT,DELRAY BEACH,FL,33446,05/18/2022
09/14/2022,"$415,431.94",3602 61ST TER E,ELLENTON,FL,34222,08/02/2022
09/14/2022,"$248,061.05",9813 FOXHALL WAY 2,ESTERO,FL,33928,08/06/2022
09/14/2022,"$174,109.33",111 SE 8 AVE,FORT LAUDERDALE,FL,33301,08/06/2022
09/14/2022,"$51,461.46",2430 SE 17 ST,FORT LAUDERDALE,FL,33316,08/18/2022
09/14/2022,"$715,575.64",223 W 13 ST,HIALEAH,FL,33010,08/11/2022
09/14/2022,"$962,133.51",6626 GREG WAY,LAKE WORTH,FL,33467,08/18/2022
09/14/2022,"$88,091.01",400 NW 34 AVE,LAUDERHILL,FL,33311,08/04/2022
09/14/2022,"$714,776.69",19111 SAINT EMILION CT,LUTZ,FL,33558,08/16/2022
09/14/2022,"$13,328.77",7708 MARGATE BLVD,MARGATE,FL,33063,08/18/2022
09/14/2022,"$128,540.66",2 GROVE ISLE DR B701,MIAMI,FL,33133,06/04/2022
09/14/2022,"$711,110.01",6630 SW 132 AVE,MIAMI,FL,33183,05/18/2022
09/14/2022,"$35,675.87",19100 NW 34 AVE,MIAMI GARDENS,FL,33056,08/11/2022
09/14/2022,"$244,859.29",2771 RIDGEWOOD DR,NORTH PORT,FL,34287,08/25/2022
09/14/2022,"$420,212.15",13006 NE 14TH AVE,OKEECHOBEE,FL,34972,08/02/2022
09/14/2022,"$10,228.60",2076 SE 130TH WAY,OKEECHOBEE,FL,34974,08/02/2022
09/14/2022,"$135,552.87",1910 NW 163 STREET RD,OPA LOCKA,FL,33054,09/08/2022
09/14/2022,"$273,904.25",18015 NW 25 CT,OPA LOCKA,FL,33056,09/08/2022
09/14/2022,"$4,805.31",2875 SPOONBILL TRL,ORANGE PARK,FL,32073,08/06/2022
09/14/2022,"$67,950.41",2935 HELEN AVE,ORLANDO,FL,32804,08/02/2022
09/14/2022,"$511,334.53",6828 POMEROY CIR,ORLANDO,FL,32810,05/21/2022
09/14/2022,"$243,374.76",880 N LINDENWOOD CIR,ORMOND BEACH,FL,32174,08/02/2022
09/14/2022,"$150,785.52",3612 SAMMY CT,PALM HARBOR,FL,34684,08/02/2022
09/14/2022,"$256,546.16",8727 MEADOWBROOK DR,PENSACOLA,FL,32514,08/04/2022
09/14/2022,"$79,559.38",5649 67TH AVE N # 215,PINELLAS PARK,FL,33781,09/08/2022
09/14/2022,"$237,890.56",2104 SE STARGRASS ST,PORT SAINT LUCIE,FL,34953,08/11/2022
09/14/2022,"$226,367.58",4352 SW TALUGA ST,PORT SAINT LUCIE,FL,34953,06/04/2022
09/14/2022,"$244,984.15",13106 DOBREE PL,RIVERVIEW,FL,335769,08/18/2022
09/14/2022,"$21,107.71",2688 CLUBHOUSE DR 201 BLD 13,SARASOTA,FL,34232,08/25/2022
09/14/2022,"$502,727.25",3845 27TH PKWY,SARASOTA,FL,34235,08/30/2022
09/14/2022,"$30,768.80",3010 6TH AVE S,ST PETERSBURG,FL,33712,08/06/2022
09/14/2022,"$69,012.30",13553 SE 39TH TER,SUMMERFIELD,FL,34491,08/16/2022
09/14/2022,"$21,260.75",5970 NW 29 ST,SUNRISE,FL,33313,08/16/2022
09/14/2022,"$345,299.64",3738 NW 107 WAY,SUNRISE,FL,33351,08/23/2022
09/14/2022,"$296,421.18",1208 E GIDDENS AVE,TAMPA,FL,33603,08/13/2022
09/14/2022,"$161,402.34",3611 E CHELSEA ST,TAMPA,FL,33610,08/16/2022
09/14/2022,"$10,404.01",1500 N CONGRESS AVE B-23,WEST PALM BEACH,FL,33401,08/20/2022
09/14/2022,"$206,583.73",5206 SW 20 ST,WEST PARK,FL,33023,08/18/2022
09/14/2022,"$151,424.93",3410 COVE CT W,WINTER HAVEN,FL,33880,08/18/2022
09/15/2022,"$14,568.17",6139 NW 112TH PL,ALACHUA,FL,32615,08/23/2022
09/15/2022,"$123,543.99",1831 SHADY CREEK CIR,CANTONMENT,FL,32533,08/13/2022
09/15/2022,"$18,632.72",19029 US HIGHWAY 19 N # 9-207,CLEARWATER,FL,33764,08/02/2022
09/15/2022,"$280,417.83",10971 CYPRESS RUN CIR,CORAL SPRINGS,FL,33071,08/13/2022
09/15/2022,"$124,276.13",320 FORREST PKWY,CRESTVIEW,FL,32539,08/11/2022
09/15/2022,"$183,996.86",448 NW 3 AVE,DEERFIELD BEACH,FL,33441,08/18/2022
09/15/2022,"$885,119.06",CAPTAIN DRIVE,DELTONA,FL,32738,06/23/2022
09/15/2022,"$866,739.29",20082 QUAIL RUN DR,DUNNELLON,FL,34432,08/18/2022
09/15/2022,"$168,313.27",1319 UMBRELLA TREE DR,EDGEWATER,FL,32168,08/11/2022
