"auction_type","auction_date","auction_time","sold_to","sold_amount","judgment_amount","assessed_value","plaintiff_max_bid","surplus_amount","case_number","parcel_id","address","city","state","zip"
"FORECLOSURE","08/07/2024","11:02 AM ET","3rd Party Bidder","$79,500.00","$79,407.58","$38,432.00","Hidden","$92.42","412020CA003285CAAXMA","4956602207","2901 26TH ST W APT 317","BRADENTON","FL","34205"
"FORECLOSURE","08/07/2024","11:04 AM ET","3rd Party Bidder","$180,300.00","$177,074.99","$145,350.00","Hidden","$3,225.01","412022CA001071CAAXMA","5250300000","3025 48TH AVENUE DR W","BRADENTON","FL","34207"
"FORECLOSURE","08/21/2024","11:34 AM ET","3rd Party Bidder","$154,100.00","$80,075.00","$117,641.00","Hidden","$74,025.00","412024CA000571CAAXMA","4416000000","1426 17TH ST W","BRADENTON","FL","34205"
"FORECLOSURE","08/28/2024","11:03 AM ET","3rd Party Bidder","$268,000.00","$262,538.13","$189,775.00","Hidden","$5,461.87","412018CA004138CAAXMA","584109607","6427 GOLDEN LEAF CT","LAKEWOOD RANCH","FL","34202"
"FORECLOSURE","09/18/2024","11:04 AM ET","3rd Party Bidder","$288,300.00","$425,000.00","$393,733.00","Hidden","$-136,700.00","412023CA004038CAAXMA","740902859","8243 47TH STREET CIR E","PALMETTO","FL","34221"
"FORECLOSURE","09/19/2024","11:03 AM ET","3rd Party Bidder","$155,500.00","$266,762.54","$173,696.00","Hidden","$-111,262.54","412018CA005898CAAXMA","2051761050","6211 TIMBER LAKE DR UNIT B8","SARASOTA","FL","34243"
"FORECLOSURE","10/16/2024","11:24 AM ET","3rd Party Bidder","$225,300.00","$72,677.89","$273,036.00","Hidden","$152,622.11","412023CA000504CAAXMA","2612800009","215 16TH ST W","PALMETTO","FL","34221"
"FORECLOSURE","08/01/2024","11:08 AM ET","3rd Party Bidder","$133,100.00","$81,514.05","$61,948.00","$83,408.23","$51,585.95","01 2024 CA 000336","03221-002-007","13929 NW 155TH LN","ALACHUA","FL","32615"
"FORECLOSURE","08/15/2024","11:09 AM ET","3rd Party Bidder","$198,100.00","$169,457.79","$186,019.00","Hidden","$28,642.21","01 2023 CA 002229","07814-100-117","7806 NW 21ST TER","GAINESVILLE","FL","32609"
"FORECLOSURE","08/27/2024","11:22 AM ET","3rd Party Bidder","$62,100.00","$23,793.01","$77,012.00","Hidden","$38,306.99","01 2022 CA 000274","04775-004-000","13971 SW 130TH AVE","ARCHER","FL","32618"
"FORECLOSURE","08/27/2024","11:31 AM ET","3rd Party Bidder","$269,500.00","$178,582.37","$275,494.00","$178,360.91","$90,917.63","01 2023 CA 003821","06308-012-071","10074 NW 22ND RD","GAINESVILLE","FL","32606"
