"auction_date","judgment_amount","address","city","state","zip"
"11/14/2024","$53,235.42","1122 NE 20TH AVE","GAINESVILLE","FL","32609"
"11/14/2024","$213,765.95","2727 NW 54TH AVE","GAINESVILLE","FL","32653"
"11/14/2024","$558,558.37","11205 W NEWBERRY RD","GAINESVILLE","FL","32606"
"11/14/2024","$93,862.66","214 SE 13TH PL","GAINESVILLE","FL","32601"
"11/19/2024","$32,211.67","25317 NW 6TH AVE","NEWBERRY","FL","32669"
"11/19/2024","$191,535.41","3702 NW 22ND PL","GAINESVILLE","FL","32605"
"11/12/2024","$103,087.53","1809 FLOWER AVE","PANAMA CITY","FL","32405"
"11/18/2024","$45,244.74","ALEX DR","FOUNTAIN","FL","32438"
"11/20/2024","$177,716.85","703 AMY ST","LYNN HAVEN","FL","32444"
"11/20/2024","$165,675.61","939 KATHERINE AVE S","PANAMA CITY","FL","32404"
"12/05/2024","$182,710.82","6522 HIWASSEE ST","PANAMA CITY","FL","32404"
"12/09/2024","$425,911.91","468 EAGLE LAKE WAY","PANAMA CITY","FL","32404"
"12/09/2024","$5,625.78","100 LESLIE LN W","PANAMA CITY BEACH","FL","32407"
"12/09/2024","$94,408.95","2403 MINNESOTA AVE","LYNN HAVEN","FL","32444"
"12/11/2024","$350,464.61","430 ALBERT MEADOW LN","PANAMA CITY","FL","32404"
"12/19/2024","$170,769.53","121 WABASH AVE","PANAMA CITY","FL","32401"
"01/06/2025","$2,292,413.14","22 3S 16W -3-","PANAMA CITY BEACH","FL","32407"
"11/12/2024","$327,611.29","1596 SALERNO CIR","WESTON","FL","33327"
"11/12/2024","$330,257.77","4161 SW 56 TER","DAVIE","FL","33314"
"11/12/2024","$2,728,529.68","21 SENECA RD","SEA RANCH LAKES","FL","33308"
"11/12/2024","$311,588.58","7612 SHALIMAR ST","MIRAMAR","FL","33023"
"11/12/2024","$367,317.10","5927 RIVERSIDE AVE","TAMARAC","FL","33321"
"11/12/2024","$97,989.89","2701 N 34 AVE","HOLLYWOOD","FL","33021"
"11/12/2024","$573,803.56","6930 MARTIN RD","MARGATE","FL","33068"
"11/12/2024","$116,815.57","5209 NW 18 ST","LAUDERHILL","FL","33313"
"11/12/2024","$71,499.29","9091 LIME BAY BLVD","TAMARAC","FL","33321"
"11/12/2024","$288,906.53","516 SW 2 CT","POMPANO BEACH","FL","33060"
"11/13/2024","$42,033.05","3411 NW 14 CT","LAUDERHILL","FL","33311"
"11/13/2024","$534,916.15","10141 SW 3 ST","PLANTATION","FL","33324"
"11/13/2024","$357,386.90","6801 SW 13 ST","PEMBROKE PINES","FL","33023"
"11/13/2024","$434,458.47","18104 SW 28 ST","MIRAMAR","FL","33029"
"11/13/2024","$2,044,324.33","2417 E LAS OLAS BLVD","FORT LAUDERDALE","FL","33301"
"11/13/2024","$21,422.92","5800 NW 64 AVE","TAMARAC","FL","33319"
"11/13/2024","$415,939.69","1040 NW 191 AVE","PEMBROKE PINES","FL","33029"
"11/13/2024","$36,856.60","3600 NW 21 ST","LAUDERDALE LAKES","FL","33311"
"11/14/2024","$439,243.95","10620 NW 28 MNR","SUNRISE","FL","33322"
"11/14/2024","$415,181.33","15580 SW 49 CT","MIRAMAR","FL","33027"
"11/14/2024","$532,417.54","6550 NW 44 CT","LAUDERHILL","FL","33319"
"11/14/2024","$345,237.33","1235 NW 3 AVE","FORT LAUDERDALE","FL","33311"
"11/15/2024","$20,442.70","3361 NW 47 TER","LAUDERDALE LAKES","FL","33319"
"11/19/2024","$317,823.55","5620 SW 37 ST","HOLLYWOOD","FL","33023"
"11/19/2024","$895,743.26","3421 SW 195 AVE","MIRAMAR","FL","33029"
"11/19/2024","$347,736.80","1819 SE 17 ST","FORT LAUDERDALE","FL","33316"
"11/19/2024","$310,049.60","1001 NW 13 CT","FORT LAUDERDALE","FL","33311"
"11/19/2024","$296,062.05","7882 TRENT DR","TAMARAC","FL","33321"
"11/19/2024","$271,383.21","1119 NW 18 CT","FORT LAUDERDALE","FL","33311"
"11/19/2024","$86,691.65","2201 S OCEAN DR","HOLLYWOOD","FL","33019"
"11/19/2024","$610,841.21","3537 SW 175 AVE","MIRAMAR","FL","33029"
