auction_date,opening_bid,address,city,state,zip,date_added
09/27/2022,$866.79,OFF NW CR 138,BRANFORD,FL,32008,09/17/2022
09/27/2022,"$6,512.18",255 E CONSTANCE RD,DEBARY,FL,32713,08/23/2022
09/27/2022,"$1,978.11",OFF AMELIA RD,FERNANDINA BEACH,FL,32034,08/18/2022
09/27/2022,"$6,647.58",3023 SE 13TH PL,GAINESVILLE,FL,32641,07/02/2022
09/27/2022,"$1,969.41",SECOND AVE HILLIARD FL 32046,HILLIARD,FL,32046,08/18/2022
09/27/2022,"$1,942.78",SIXTH AVE HILLIARD FL 32046,HILLIARD,FL,32046,08/06/2022
09/27/2022,"$4,356.93",1504 ENTERPRISE AVE,NEW SMYRNA BEACH,FL,32168,08/23/2022
09/27/2022,"$17,630.52",802 MAPLE AVE,PANAMA CITY,FL,32401,07/26/2022
09/27/2022,"$18,774.56",716 13TH CT E,PANAMA CITY,FL,32401,07/26/2022
09/27/2022,"$4,496.63",3504 5TH ST E,PANAMA CITY,FL,32401,07/26/2022
09/27/2022,"$3,470.64",3830 PIPELINE RD,PANAMA CITY,FL,32404,07/26/2022
09/27/2022,"$2,608.90",1086 8TH ST SW,VERO BEACH,FL,32962,08/25/2022
09/27/2022,"$4,065.08",4886 61ST CT,VERO BEACH,FL,32967,08/25/2022
09/27/2022,"$3,354.83",10448 MILLER CIR,YOUNGSTOWN,FL,32466,07/26/2022
09/29/2022,"$5,496.83",AMANDA AVE,NORTH PORT,FL,34286,08/20/2022
09/29/2022,"$5,202.68",IRONSIDE ST,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,199.47",JULIANNA ST,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,207.90",JULIANNA ST,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$3,465.30",LEDUM AVE,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$4,080.55",BOSKOOP RD,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$3,974.08",KIMBERLY DR,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,320.78",MANSFIELD CIR,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,206.21",NOME AVE,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,325.88",ADGER CT,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$4,248.11",BLUELEAF DR,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$4,451.24",BLUELEAF DR,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,358.21",RAGLAND TER,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,348.06",RAGLAND TER,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,304.75",HAMPSHIRE CIR,NORTH PORT,FL,34288,08/20/2022
09/29/2022,"$5,298.04",NEWMAN DR,NORTH PORT,FL,34288,08/20/2022
