"auction_date","opening_bid","address","city","state","zip"
"07/30/2024","$2,742.45","12505 PITTS RD","FOUNTAIN","FL","32438"
"07/30/2024","$5,086.17","13021 PITTS RD","FOUNTAIN","FL","32438"
"07/30/2024","$28,948.36","8935 HORNBILL DR","YOUNGSTOWN","FL","32466"
"07/30/2024","$24,804.71","8815 BAYHEAD CT W","YOUNGSTOWN","FL","32466"
"07/30/2024","$2,137.91","6031 SAGE BRUSH DR","PANAMA CITY","FL","32404"
"08/06/2024","$26,820.04","7212 CHERRY STREET","PANAMA CITY","FL","32404"
"08/06/2024","$2,310.95","3741 FREDRICKSON","SOUTHPORT","FL","32409"
"08/27/2024","$1,502.56","23 2N 12W - 7 -","FOUNTAIN","FL","32438"
"08/27/2024","$2,489.93","9125 SANDRA GRACE RD","SOUTHPORT","FL","32409"
"08/27/2024","$2,347.11","3936 SCURLOCK","SOUTHPORT","FL","32409"
"08/27/2024","$104,894.31","1402 MISSISSIPPI AVE","LYNN HAVEN","FL","32444"
"08/27/2024","$11,771.47","1321 CAPRI DR","PANAMA CITY","FL","32405"
"08/27/2024","$6,898.97","3602 A","PANAMA CITY","FL","32404"
"08/27/2024","$3,802.68","3500 A ST","PANAMA CITY","FL","32404"
"08/27/2024","$75,553.95","104 RIDGECREST CT","PANAMA CITY","FL","32405"
"08/27/2024","$25,374.31","2106 E NORWOOD DR","PANAMA CITY","FL","32405"
"08/27/2024","$2,016.88","904 KRAFT AVE","PANAMA CITY","FL","32401"
"09/10/2024","$56,399.39","8304 HWY 22","PANAMA CITY","FL","32404"
"09/10/2024","$4,106.74","A STREET","PANAMA CITY","FL","32404"
"09/10/2024","$33,711.74","2410 W 10TH ST","PANAMA CITY","FL","32401"
"09/10/2024","$9,931.86","44 PARK PL","PANAMA CITY BEACH","FL","32413"
"07/17/2024","$1,277.62","0 E INDIAN OAKS CT","HERNANDO","FL","34442"
"07/17/2024","$3,886.86","7358 N VERONICA DR","CITRUS SPRINGS","FL","34433"
"07/17/2024","$955.56","6360 E GLOVER ST","INVERNESS","FL","34452"
"07/17/2024","$4,111.54","3390 W EARLY PL","CITRUS SPRINGS","FL","34433"
"07/17/2024","$2,094.53","1195 E TOLEDO DR","CITRUS SPRINGS","FL","34434"
"07/17/2024","$956.18","6658 E GRAYSON ST","INVERNESS","FL","34452"
"07/17/2024","$1,558.40","1418 W STARBRIGHT PL","CITRUS SPRINGS","FL","34434"
"07/17/2024","$1,528.97","2714 W ORANGE GROVE PL","DUNNELLON","FL","34433"
"07/17/2024","$2,376.48","29 W STOCKEL LN","CITRUS SPRINGS","FL","34434"
"07/17/2024","$1,549.11","8259 W GAYLE LN","CRYSTAL RIVER","FL","34428"
"07/24/2024","$2,187.86","7306 LEHIGH DR","KEYSTONE HEIGHTS","FL","32656"
"07/24/2024","$1,758.57","6292 DRAKE AVE","KEYSTONE HEIGHTS","FL","32656"
"07/17/2024","$2,606.30","923 W 12TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","$2,730.76","W 11TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","$1,711.88","ORIOLE ST","JACKSONVILLE","FL","32208"
"07/17/2024","$1,365.11","5827 DOEBOY ST","JACKSONVILLE","FL","32208"
"07/17/2024","$14,666.42","4540 CAMBRIA ST","JACKSONVILLE","FL","32207"
"07/17/2024","$12,870.96","2022 TAUNTON RD","JACKSONVILLE","FL","32207"
"07/17/2024","$6,846.04","2331 W 10TH ST","JACKSONVILLE","FL","32209"
"07/17/2024","$34,694.84","1832 COLBY AVE","JACKSONVILLE","FL","32218"
"07/17/2024","$158,245.02","8876 JOHNSON TER","JACKSONVILLE","FL","32219"
"07/17/2024","$1,742.31","W 1ST ST","JACKSONVILLE","FL","32218"
"08/14/2024","$4,195.31","205 KATHERINE RD","JACKSONVILLE","FL","32218"
