"auction_date","auction_time","sold_to","sold_amount","opening_bid","assessed_value","surplus_amount","case_number","certificate_number","parcel_id","address","city","state","zip"
"01/15/2025","09:09 AM ET","3rd Party Bidder","$39,500.00","$5,389.00","$13,602.00","$34,111.00","2024-1266TD","09237-2022","081900-0000","2426 MARK AVE","JACKSONVILLE","FL","32207"
"01/15/2025","09:17 AM ET","3rd Party Bidder","$17,100.00","$1,843.54","$3,163.00","$15,256.46","2024-2005TD","13069-2022","131782-0000","1721 E 22ND ST","JACKSONVILLE","FL","32206"
"01/15/2025","09:24 AM ET","3rd Party Bidder","$26,100.00","$5,593.25","$16,530.00","$20,506.75","2024-2015TD","12155-2022","115667-0005","1842 E 9TH ST","JACKSONVILLE","FL","32206"
"01/15/2025","09:47 AM ET","3rd Party Bidder","$7,300.00","$1,571.25","$1,155.00","$5,728.75","2024-2024TD","17852-2018","146255-0000","0 PACKARD DR","JACKSONVILLE","FL","32246"
"01/15/2025","09:09 AM ET","3rd Party Bidder","$39,500.00","$5,389.00","$13,602.00","$34,111.00","2024-1266TD","09237-2022","081900-0000","2426 MARK AVE","JACKSONVILLE","FL","32207"
"01/15/2025","09:17 AM ET","3rd Party Bidder","$17,100.00","$1,843.54","$3,163.00","$15,256.46","2024-2005TD","13069-2022","131782-0000","1721 E 22ND ST","JACKSONVILLE","FL","32206"
"01/15/2025","09:24 AM ET","3rd Party Bidder","$26,100.00","$5,593.25","$16,530.00","$20,506.75","2024-2015TD","12155-2022","115667-0005","1842 E 9TH ST","JACKSONVILLE","FL","32206"
"01/15/2025","09:47 AM ET","3rd Party Bidder","$7,300.00","$1,571.25","$1,155.00","$5,728.75","2024-2024TD","17852-2018","146255-0000","0 PACKARD DR","JACKSONVILLE","FL","32246"
"01/15/2025","10:16 AM ET","3rd Party Bidder","$3,900.00","$3,622.54","$1,365.00","$277.46","2024-2072TD","14608-2018","108329-0000","0 WADE RD","JACKSONVILLE","FL","32218"
"01/15/2025","10:22 AM ET","3rd Party Bidder","$8,500.00","$1,876.09","$4,591.00","$6,623.91","2024-2076TD","11988-2019","084314-0210","0 N CANAL ST","JACKSONVILLE","FL","32209"
"01/15/2025","10:27 AM ET","3rd Party Bidder","$3,500.00","$2,088.87","$7,440.00","$1,411.13","2024-2077TD","08931-2019","052387-0000","0 WILSON ST","JACKSONVILLE","FL","32209"
"01/29/2025","09:25 AM ET","3rd Party Bidder","$194,200.00","$9,350.34","$206,956.00","$184,849.66","2024-2032TD","01343-2022","010411-0000","2039 N OLD MIDDLEBURG RD","JACKSONVILLE","FL","32210"
"12/03/2024","10:05 AM ET","3rd Party Bidder","$9,510.00","$4,303.01","$2,143.00","$5,206.99","TD 2024-039","2022-3341","16014-006-000","UNASSIGNED LOCATION RE","Not Found","Not Found","Not Found"
"12/03/2024","10:06 AM ET","3rd Party Bidder","$101,010.00","$15,393.48","$148,442.00","$85,616.52","TD 2024-065","2022-1761","06680-020-007","927 SW 55TH TER","GAINESVILLE","FL","32607"
"12/03/2024","10:09 AM ET","3rd Party Bidder","$57,010.00","$4,714.50","$78,529.00","$52,295.50","TD 2024-066","2022-1809","06770-154-000","2811 SW ARCHER RD UNIT S154","GAINESVILLE","FL","32608"
